<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.003>	"borchia"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.001>	"alamaro"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.002>	"balteus"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.013>	"lamina"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.014>	"laticlavus"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.016>	"passante"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.017>	"spillone"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.001.000.015>	"nastro"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.026>	"saltaleone"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.010>	"colonnina"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.021.001>	"di rivestimento"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.021>	"placca"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.001.000.004.021>	"mano destra"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.001.000.004>	"gruppo statuario"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.009>	"anello di sospensione"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.002.001.006.004>	"ionica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.002.001.006>	"cornice"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.001>	"basamento"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.001.002>	"a prisma"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.001.003>	"cilindrico"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.001.001>	"a dado"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.005.000.005.002>	"scortea"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/001.005.000.005>	"paenula"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.001.002>	"da presa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.001>	"anello"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.012>	"ponte"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.004.000.002.001>	"da rete"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.004.000.002>	"ago"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.023>	"ribattino"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.011>	"parapetto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.022>	"pomello"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.005>	"di nuraghe"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.018>	"molla"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.004>	"di navicella"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.017>	"menisco"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.007>	"di tempio"@it
